complaint_id,complaint_text,fault_name,obd_code,fault_category
C001,I have a problem with overheat and hot while driving.,Engine Overheating,P0217,Engine Cooling
C002,My car has overheat and temperature when I start the car.,Engine Overheating,P0217,Engine Cooling
C003,Experiencing overheat and coolant on the highway.,Engine Overheating,P0217,Engine Cooling
C004,Noticed that overheat and radiator in the morning.,Engine Overheating,P0217,Engine Cooling
C005,The mechanic said overheat and steam recently.,Engine Overheating,P0217,Engine Cooling
C006,Dashboard shows overheat and boil and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C007,Warning light for overheat and thermostat which is dangerous.,Engine Overheating,P0217,Engine Cooling
C008,Lately my vehicle has overheat and water pump every time I drive.,Engine Overheating,P0217,Engine Cooling
C009,There is an issue with overheat and gauge red,Engine Overheating,P0217,Engine Cooling
C010,I am worried about overheat and hissing after it rains.,Engine Overheating,P0217,Engine Cooling
C011,Seems like overheat and smoking hood during long trips.,Engine Overheating,P0217,Engine Cooling
C012,Hearing some noises regarding overheat and cooling fan at low speeds.,Engine Overheating,P0217,Engine Cooling
C013,Just started noticing overheat and temp needle high when braking.,Engine Overheating,P0217,Engine Cooling
C014,Driving feels bad due to hot and overheat when accelerating.,Engine Overheating,P0217,Engine Cooling
C015,Can someone check the hot and temperature in cold weather.,Engine Overheating,P0217,Engine Cooling
C016,I have a problem with hot and coolant while driving.,Engine Overheating,P0217,Engine Cooling
C017,My car has hot and radiator when I start the car.,Engine Overheating,P0217,Engine Cooling
C018,Experiencing hot and steam on the highway.,Engine Overheating,P0217,Engine Cooling
C019,Noticed that hot and boil in the morning.,Engine Overheating,P0217,Engine Cooling
C020,The mechanic said hot and thermostat recently.,Engine Overheating,P0217,Engine Cooling
C021,Dashboard shows hot and water pump and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C022,Warning light for hot and gauge red which is dangerous.,Engine Overheating,P0217,Engine Cooling
C023,Lately my vehicle has hot and hissing every time I drive.,Engine Overheating,P0217,Engine Cooling
C024,There is an issue with hot and smoking hood,Engine Overheating,P0217,Engine Cooling
C025,I am worried about hot and cooling fan after it rains.,Engine Overheating,P0217,Engine Cooling
C026,Seems like hot and temp needle high during long trips.,Engine Overheating,P0217,Engine Cooling
C027,Hearing some noises regarding temperature and overheat at low speeds.,Engine Overheating,P0217,Engine Cooling
C028,Just started noticing temperature and hot when braking.,Engine Overheating,P0217,Engine Cooling
C029,Driving feels bad due to temperature and coolant when accelerating.,Engine Overheating,P0217,Engine Cooling
C030,Can someone check the temperature and radiator in cold weather.,Engine Overheating,P0217,Engine Cooling
C031,I have a problem with temperature and steam while driving.,Engine Overheating,P0217,Engine Cooling
C032,My car has temperature and boil when I start the car.,Engine Overheating,P0217,Engine Cooling
C033,Experiencing temperature and thermostat on the highway.,Engine Overheating,P0217,Engine Cooling
C034,Noticed that temperature and water pump in the morning.,Engine Overheating,P0217,Engine Cooling
C035,The mechanic said temperature and gauge red recently.,Engine Overheating,P0217,Engine Cooling
C036,Dashboard shows temperature and hissing and it is getting worse.,Engine Overheating,P0217,Engine Cooling
C037,Warning light for temperature and smoking hood which is dangerous.,Engine Overheating,P0217,Engine Cooling
C038,Lately my vehicle has temperature and cooling fan every time I drive.,Engine Overheating,P0217,Engine Cooling
C039,There is an issue with temperature and temp needle high,Engine Overheating,P0217,Engine Cooling
C040,I am worried about coolant and overheat after it rains.,Engine Overheating,P0217,Engine Cooling
C041,Seems like coolant and hot during long trips.,Engine Overheating,P0217,Engine Cooling
C042,Hearing some noises regarding coolant and temperature at low speeds.,Engine Overheating,P0217,Engine Cooling
C043,Just started noticing coolant and radiator when braking.,Engine Overheating,P0217,Engine Cooling
C044,Driving feels bad due to coolant and steam when accelerating.,Engine Overheating,P0217,Engine Cooling
C045,Can someone check the coolant and boil in cold weather.,Engine Overheating,P0217,Engine Cooling
C046,I have a problem with coolant and thermostat while driving.,Engine Overheating,P0217,Engine Cooling
